method,chunk_number,chunk_text,is_complete,total_chunks
naive,1,import packaging.version from pallets_sphinx_themes import get_version from pallets_sphinx_themes im,yes,10
naive,2,"-------------------  default_role = ""code"" extensions = [     ""sphinx.ext.autodoc"",     ""sphinx.ext.",yes,10
naive,3,"sue"": (""https://github.com/pallets/flask/issues/%s"", ""#%s""),     ""pr"": (""https://github.com/pallets/",yes,10
naive,4,"one),     ""click"": (""https://click.palletsprojects.com/"", None),     ""jinja"": (""https://jinja.pallet",yes,10
naive,5,"thedocs.io/"", None), }  # HTML -----------------------------------------------------------------  ht",yes,10
naive,6,",         ProjectLink(""Source Code"", ""https://github.com/pallets/flask/""),         ProjectLink(""Issu",yes,10
naive,7,"ml"", ""relations.html"", ""searchbox.html"", ""ethicalads.html""], } singlehtml_sidebars = {""index"": [""pro",yes,10
naive,8,True gettext_compact = False  # Local Extensions ---------------------------------------------------,no,10
naive,9,"       words, text = text[:-1].rsplit(""<"", 1)         words = words.strip()     else:         words ",yes,10
naive,10,docutils.parsers.rst.roles import set_classes      options = options or {}     set_classes(options) ,yes,10
ast,1,import packaging.version from pallets_sphinx_themes import get_version from pallets_sphinx_themes im,yes,3
ast,2,"def github_link(name, rawtext, text, lineno, inliner, options=None, content=None):     app = inliner",yes,3
ast,3,"def setup(app):     app.add_role(""gh"", github_link) ",yes,3
naive,1,"from task_app import create_app  flask_app = create_app() celery_app = flask_app.extensions[""celery""",yes,1
ast,1,"from task_app import create_app  flask_app = create_app() celery_app = flask_app.extensions[""celery""",yes,1
naive,1,import time  from celery import shared_task from celery import Task   @shared_task(ignore_result=Fal,yes,2
naive,2,"state(state=""PROGRESS"", meta={""current"": i + 1, ""total"": total})         time.sleep(1)      return {",yes,2
ast,1,import time  from celery import shared_task from celery import Task   @shared_task(ignore_result=Fal,yes,4
ast,2,"def add(a: int, b: int) -> int:     return a + b   @shared_task() ",yes,4
ast,3,"def block() -> None:     time.sleep(5)   @shared_task(bind=True, ignore_result=False) ",yes,4
ast,4,"def process(self: Task, total: int) -> object:     for i in range(total):         self.update_state(",yes,4
naive,1,from celery.result import AsyncResult from flask import Blueprint from flask import request  from . ,yes,3
naive,2,": result.successful() if ready else None,         ""value"": result.get() if ready else result.result,",yes,3
naive,3,"str, object]:     result = tasks.block.delay()     return {""result_id"": result.id}   @bp.post(""/proc",yes,3
ast,1,from celery.result import AsyncResult from flask import Blueprint from flask import request  from . ,yes,5
ast,2,"def result(id: str) -> dict[str, object]:     result = AsyncResult(id)     ready = result.ready()   ",yes,5
ast,3,"def add() -> dict[str, object]:     a = request.form.get(""a"", type=int)     b = request.form.get(""b""",yes,5
ast,4,"def block() -> dict[str, object]:     result = tasks.block.delay()     return {""result_id"": result.i",yes,5
ast,5,"def process() -> dict[str, object]:     result = tasks.process.delay(total=request.form.get(""total"",",yes,5
naive,1,from celery import Celery from celery import Task from flask import Flask from flask import render_t,no,3
naive,2,"),     )     app.config.from_prefixed_env()     celery_init_app(app)      @app.route(""/"")     def in",yes,3
naive,3, **kwargs: object) -> object:             with app.app_context():                 return self.run(*a,yes,3
ast,1,from celery import Celery from celery import Task from flask import Flask from flask import render_t,yes,3
ast,2,def create_app() -> Flask:     app = Flask(__name__)     app.config.from_mapping(         CELERY=dic,yes,3
ast,3,"def celery_init_app(app: Flask) -> Celery:     class FlaskTask(Task):         def __call__(self, *ar",yes,3
naive,1,from flask import jsonify from flask import render_template from flask import request  from . import,yes,2
naive,2,"     b = request.form.get(""b"", 0, type=float)     return jsonify(result=a + b) ",yes,2
ast,1,from flask import jsonify from flask import render_template from flask import request  from . import,yes,3
ast,2,"def index(js):     return render_template(f""{js}.html"", js=js)   @app.route(""/add"", methods=[""POST""]",yes,3
ast,3,"def add():     a = request.form.get(""a"", 0, type=float)     b = request.form.get(""b"", 0, type=float)",yes,3
naive,1,"from flask import Flask  app = Flask(__name__)  from js_example import views  # noqa: E402, F401 ",yes,1
ast,1,"from flask import Flask  app = Flask(__name__)  from js_example import views  # noqa: E402, F401 ",yes,1
naive,1,"import pytest  from js_example import app   @pytest.fixture(name=""app"") def fixture_app():     app.t",yes,1
ast,1,"import pytest  from js_example import app   @pytest.fixture(name=""app"") ",yes,3
ast,2,def fixture_app():     app.testing = True     yield app     app.testing = False   @pytest.fixture ,yes,3
ast,3,def client(app):     return app.test_client() ,yes,3
naive,1,"import pytest from flask import template_rendered   @pytest.mark.parametrize(     (""path"", ""template",no,3
naive,2,"     assert template.name == template_name      with template_rendered.connected_to(check, app):    ",no,3
naive,3,"json()[""result""] == result ",yes,3
ast,1,"import pytest from flask import template_rendered   @pytest.mark.parametrize(     (""path"", ""template",yes,3
ast,2,"def test_index(app, client, path, template_name):     def check(sender, template, context):         ",no,3
ast,3,"def test_add(client, a, b, result):     response = client.post(""/add"", data={""a"": a, ""b"": b})     as",yes,3
naive,1,import functools  from flask import Blueprint from flask import flash from flask import g from flask,yes,10
naive,2,"et_db  bp = Blueprint(""auth"", __name__, url_prefix=""/auth"")   def login_required(view):     """"""View ",yes,10
naive,3,"d_view   @bp.before_app_request def load_logged_in_user():     """"""If a user id is stored in the sess",no,10
naive,4,"_id,)).fetchone()         )   @bp.route(""/register"", methods=(""GET"", ""POST"")) def register():     """"",no,10
naive,5,"  db = get_db()         error = None          if not username:             error = ""Username is requ",yes,10
naive,6,"name, generate_password_hash(password)),                 )                 db.commit()             e",yes,10
naive,7," # Success, go to the login page.                 return redirect(url_for(""auth.login""))          fl",yes,10
naive,8,"est.form[""username""]         password = request.form[""password""]         db = get_db()         error",yes,10
naive,9,"rd):             error = ""Incorrect password.""          if error is None:             # store the us",yes,10
naive,10,"gout"") def logout():     """"""Clear the current session, including the stored user id.""""""     session.",yes,10
ast,1,import functools  from flask import Blueprint from flask import flash from flask import g from flask,yes,6
ast,2,"def login_required(view):     """"""View decorator that redirects anonymous users to the login page.""""""",yes,6
ast,3,"def load_logged_in_user():     """"""If a user id is stored in the session, load the user object from  ",no,6
ast,4,"def register():     """"""Register a new user.      Validates that the username is not already taken. H",yes,6
ast,5,"def login():     """"""Log in a registered user by adding the user id to the session.""""""     if request",yes,6
ast,6,"def logout():     """"""Clear the current session, including the stored user id.""""""     session.clear()",yes,6
naive,1,from flask import Blueprint from flask import flash from flask import g from flask import redirect f,no,10
naive,2,"""Show all the posts, most recent first.""""""     db = get_db()     posts = db.execute(         ""SELECT",yes,10
naive,3,"ue):     """"""Get a post and its author by id.      Checks that the id exists and optionally that the ",yes,10
naive,4,"3: if the current user isn't the author     """"""     post = (         get_db()         .execute(     ",yes,10
naive,5,"4, f""Post id {id} doesn't exist."")      if check_author and post[""author_id""] != g.user[""id""]:      ",yes,10
naive,6,"st.form[""body""]         error = None          if not title:             error = ""Title is required.""",yes,10
naive,7,"      )             db.commit()             return redirect(url_for(""blog.index""))      return rende",yes,10
naive,8," = request.form[""title""]         body = request.form[""body""]         error = None          if not ti",yes,10
naive,9,")             )             db.commit()             return redirect(url_for(""blog.index""))      retu",yes,10
naive,10,"  """"""     get_post(id)     db = get_db()     db.execute(""DELETE FROM post WHERE id = ?"", (id,))     ",yes,10
ast,1,from flask import Blueprint from flask import flash from flask import g from flask import redirect f,yes,6
ast,2,"def index():     """"""Show all the posts, most recent first.""""""     db = get_db()     posts = db.execu",yes,6
ast,3,"def get_post(id, check_author=True):     """"""Get a post and its author by id.      Checks that the id",yes,6
ast,4,"def create():     """"""Create a new post for the current user.""""""     if request.method == ""POST"":    ",yes,6
ast,5,"def update(id):     """"""Update a post if the current user is the author.""""""     post = get_post(id)  ",yes,6
ast,6,"def delete(id):     """"""Delete a post.      Ensures that the post exists and that the logged in user ",yes,6
naive,1,import sqlite3 from datetime import datetime  import click from flask import current_app from flask ,no,4
naive,2,"current_app.config[""DATABASE""], detect_types=sqlite3.PARSE_DECLTYPES         )         g.db.row_fact",yes,4
naive,3,"g data and create new tables.""""""     db = get_db()      with current_app.open_resource(""schema.sql"")",no,4
naive,4,"imestamp"", lambda v: datetime.fromisoformat(v.decode()))   def init_app(app):     """"""Register databa",no,4
ast,1,import sqlite3 from datetime import datetime  import click from flask import current_app from flask ,yes,6
ast,2,"def get_db():     """"""Connect to the application's configured database. The connection     is unique ",yes,6
ast,3,"def close_db(e=None):     """"""If this request connected to the database, close the     connection.   ",yes,6
ast,4,"def init_db():     """"""Clear existing data and create new tables.""""""     db = get_db()      with curr",no,6
ast,5,"def init_db_command():     """"""Clear existing data and create new tables.""""""     init_db()     click.",no,6
ast,6,"def init_app(app):     """"""Register database functions with the Flask app. This is called by     the ",no,6
naive,1,"import os  from flask import Flask   def create_app(test_config=None):     """"""Create and configure a",no,5
naive,2,"se in the instance folder         DATABASE=os.path.join(app.instance_path, ""flaskr.sqlite""),     )  ",yes,5
naive,3,"# ensure the instance folder exists     os.makedirs(app.instance_path, exist_ok=True)      @app.rout",yes,5
naive,4,int(auth.bp)     app.register_blueprint(blog.bp)      # make url_for('index') == url_for('blog.index,yes,5
naive,5,n app ,yes,5
ast,1,import os  from flask import Flask   ,yes,2
ast,2,"def create_app(test_config=None):     """"""Create and configure an instance of the Flask application.""",yes,2
naive,1,import os import tempfile  import pytest  from flaskr import create_app from flaskr.db import get_db,no,5
naive,2,"pp instance for each test.""""""     # create a temporary file to isolate the database for each test   ",yes,5
naive,3,().executescript(_data_sql)      yield app      # close and remove the temporary database     os.clo,yes,5
naive,4,"ner()   class AuthActions:     def __init__(self, client):         self._client = client      def lo",yes,5
naive,5,ture def auth(client):     return AuthActions(client) ,yes,5
ast,1,import os import tempfile  import pytest  from flaskr import create_app from flaskr.db import get_db,yes,6
ast,2,"def app():     """"""Create and configure a new app instance for each test.""""""     # create a temporary",no,6
ast,3,"def client(app):     """"""A test client for the app.""""""     return app.test_client()   @pytest.fixture",yes,6
ast,4,"def runner(app):     """"""A test runner for the app's Click commands.""""""     return app.test_cli_runne",yes,6
ast,5,"class AuthActions:     def __init__(self, client):         self._client = client      def login(self",yes,6
ast,6,def auth(client):     return AuthActions(client) ,yes,6
naive,1,import pytest from flask import g from flask import session  from flaskr.db import get_db   def test,no,6
naive,2,"/register"", data={""username"": ""a"", ""password"": ""a""})     assert response.headers[""Location""] == ""/au",yes,6
naive,3,"trize(     (""username"", ""password"", ""message""),     (         ("""", """", b""Username is required.""),   ",no,6
naive,4,"me, ""password"": password}     )     assert message in response.data   def test_login(client, auth): ",no,6
naive,5," == ""/""      # login request set the user_id in the session     # check that the user is loaded from",no,6
naive,6,"(""test"", ""a"", b""Incorrect password."")), ) def test_login_validate_input(auth, username, password, me",no,6
